rank,name,elo,peak_elo,peak_date,fights,last_fight,elo_vs_peak
1817,Daniel Sarafian,1470.23,1507.61,2013-06-08,6,2016-02-21,-37.39
1818,Will Brooks,1470.22,1524.96,2016-07-08,4,2017-11-18,-54.73
1819,Darrick Minner,1470.16,1528.42,2021-02-20,6,2022-11-05,-58.26
1820,Jeremy Stephens,1470.11,1597.19,2018-02-24,35,2025-05-03,-127.08
1821,Dhiego Lima,1470.08,1503.59,2019-10-05,11,2021-06-19,-33.51
1822,Kai Asakura,1470.07,1490.09,2024-12-07,2,2025-08-16,-20.01
1823,Russell Doane,1470.07,1542.37,2014-07-05,8,2018-02-24,-72.3
1824,AJ Fletcher,1470.03,1487.18,2023-02-18,4,2023-09-23,-17.15
1825,Chris Beal,1469.99,1541.24,2014-09-05,5,2016-06-18,-71.25
1826,Brian Johnston,1469.95,1512.5,1996-09-20,6,1997-07-27,-42.55
1827,Erick Montano,1469.94,1519.0,2015-11-21,3,2016-11-05,-49.06
1828,Damir Hadzovic,1469.83,1535.61,2019-02-23,10,2025-02-01,-65.78
1829,Alexander Yakovlev,1469.81,1523.69,2016-01-30,9,2020-10-24,-53.88
1830,Corey Hill,1469.79,1520.98,2008-01-23,3,2008-12-10,-51.18
1831,Preston Parsons,1469.77,1511.39,2024-01-13,6,2025-01-11,-41.62
1832,Mandy Bohm,1469.58,1475.27,2021-09-18,3,2023-05-13,-5.69
1833,Jorge Gurgel,1469.57,1519.45,2007-07-07,7,2008-11-15,-49.88
1834,Derrick Krantz,1469.42,1487.24,2019-05-18,2,2019-08-31,-17.82
1835,Piotr Hallmann,1469.29,1527.91,2014-06-07,6,2015-11-07,-58.62
1836,Eric Shelton,1469.15,1490.34,2018-11-10,6,2019-03-23,-21.18
1837,William Knight,1469.14,1546.04,2021-12-04,7,2023-02-18,-76.9
1838,Mario Miranda,1469.09,1503.89,2010-06-12,4,2011-03-26,-34.8
1839,Caol Uno,1468.95,1532.38,2002-09-27,10,2010-03-31,-63.43
1840,Craig White,1468.91,1487.79,2018-05-27,2,2018-09-08,-18.88
1841,Andrew Holbrook,1468.67,1520.19,2015-07-25,5,2017-09-02,-51.52
1842,Anshul Jubli,1468.67,1523.0,2023-02-04,3,2025-02-08,-54.33
1843,Gabriel Benitez,1468.62,1560.22,2018-05-19,15,2024-04-27,-91.59
1844,Tresean Gore,1468.38,1507.62,2024-11-09,6,2025-08-02,-39.24
1845,Mike de la Torre,1468.3,1510.29,2015-02-22,7,2017-04-08,-41.99
1846,Bethe Correia,1468.27,1557.63,2014-08-30,12,2021-10-02,-89.35
1847,Efrain Escudero,1468.16,1548.43,2009-09-19,12,2016-04-23,-80.28
1848,Ryo Chonan,1467.85,1506.42,2008-09-06,4,2009-04-18,-38.57
1849,Daniel Pineda,1467.8,1546.0,2012-03-02,14,2024-10-19,-78.2
1850,Brad Katona,1467.79,1540.23,2018-12-08,9,2025-05-10,-72.44
1851,Quang Le,1467.77,1489.87,2025-05-03,4,2025-09-13,-22.11
1852,Ibo Aslan,1467.75,1539.5,2024-10-26,5,2025-12-06,-71.75
1853,Bobby Moffett,1467.71,1500.0,2018-11-10,3,2019-08-10,-32.29
1854,Goran Reljic,1467.68,1531.08,2008-05-24,4,2010-11-13,-63.4
1855,Alex Da Silva,1467.67,1499.63,2019-08-10,4,2022-06-04,-31.95
1856,Elizabeth Phillips,1467.64,1484.4,2015-07-25,4,2016-08-20,-16.76
1857,Chris Wilson,1467.56,1511.51,2008-08-09,4,2009-09-16,-43.94
1858,Brendson Ribeiro,1467.46,1502.74,2025-03-15,6,2025-09-06,-35.28
1859,Kevin Casey,1467.31,1503.11,2015-07-15,7,2016-08-27,-35.8
1860,Frankie Perez,1467.26,1502.6,2015-08-23,4,2017-07-22,-35.34
1861,Dylan Andrews,1467.12,1542.44,2013-08-28,5,2015-05-09,-75.32
1862,Koji Oishi,1467.1,1484.75,2000-04-14,2,2005-06-04,-17.66
1863,Felipe Bunes,1467.04,1503.4,2025-01-11,4,2026-02-28,-36.35
1864,Isaac Vallie-Flagg,1467.0,1522.27,2013-02-02,4,2014-11-22,-55.27
1865,Stefan Sekulic,1466.68,1484.14,2018-09-15,2,2021-04-24,-17.47
1866,Vanessa Melo,1466.67,1480.68,2019-09-21,4,2021-01-16,-14.01
1867,Jason Dent,1466.67,1482.91,2009-06-20,4,2009-11-21,-16.24
1868,Dennis Buzukja,1466.65,1486.3,2024-03-30,4,2024-08-24,-19.65
1869,Hatsu Hioki,1466.51,1540.69,2012-02-25,8,2015-05-09,-74.19
1870,Brad Scott,1466.41,1505.71,2017-03-18,8,2018-05-27,-39.29
1871,Geane Herrera,1466.38,1505.05,2015-12-11,4,2016-11-26,-38.67
1872,Brian Kelleher,1466.35,1567.71,2022-01-15,17,2024-07-20,-101.36
1873,Shane Roller,1466.33,1525.89,2011-03-03,6,2012-10-05,-59.55
1874,Luke Sanders,1466.22,1525.72,2016-01-17,8,2021-05-01,-59.49
1875,David Zawada,1466.2,1493.45,2019-11-09,5,2021-09-04,-27.25
1876,Mehdi Baghdad,1466.1,1482.28,2016-01-17,2,2016-07-07,-16.18
1877,Rob Kimmons,1466.02,1520.83,2008-06-21,7,2011-03-03,-54.8
1878,Kyle Kingsbury,1465.85,1560.52,2011-06-04,9,2014-07-26,-94.67
1879,John Allan,1465.77,1500.0,2019-07-13,3,2021-11-06,-34.23
1880,Ray Rodriguez,1465.73,1480.05,2020-09-05,2,2021-03-13,-14.32
1881,Kron Gracie,1465.72,1524.24,2019-02-17,4,2024-12-07,-58.52
1882,Lucio Linhares,1465.7,1478.85,2009-12-12,2,2010-03-31,-13.15
1883,Cortney Casey,1465.63,1505.94,2016-08-20,15,2022-07-09,-40.31
1884,Don Shainis,1465.6,1484.41,2022-10-01,2,2023-02-11,-18.8
1885,Clay Collard,1465.56,1502.24,2014-12-06,4,2015-09-05,-36.68
1886,Yaotzin Meza,1465.52,1504.44,2015-04-11,7,2016-02-27,-38.92
1887,Reese Andy,1465.48,1482.91,2008-07-19,2,2008-12-27,-17.43
1888,Scott Askham,1465.36,1506.72,2016-02-27,6,2017-03-18,-41.37
1889,Louis Smolka,1465.36,1591.22,2016-07-13,17,2022-05-14,-125.86
1890,Kuniyoshi Hironaka,1465.34,1506.45,2007-04-05,4,2008-04-19,-41.11
1891,Kleydson Rodrigues,1465.16,1504.21,2023-02-11,4,2024-05-18,-39.06
1892,Matt Wiman,1465.02,1598.48,2012-09-29,18,2020-12-05,-133.46
1893,Abu Azaitar,1464.98,1522.29,2018-07-22,3,2023-10-21,-57.31
1894,Bobby Hoffman,1464.92,1483.89,2000-09-22,3,2001-11-02,-18.97
1895,Michael McBride,1464.83,1483.94,2016-09-10,2,2017-04-22,-19.11
1896,Luigi Vendramini,1464.7,1506.91,2020-10-03,4,2021-09-04,-42.21
1897,Niko Price,1464.68,1569.7,2019-10-12,20,2026-02-07,-105.02
1898,Landon Quinones,1464.56,1483.28,2023-09-09,2,2024-02-03,-18.72
1899,Jason Novelli,1464.52,1479.02,2016-08-06,2,2016-11-05,-14.51
1900,Saparbeg Safarov,1464.51,1483.96,2019-03-16,4,2020-03-07,-19.44
1901,Leonardo Mafra,1464.5,1484.28,2015-03-21,4,2015-07-18,-19.78
1902,Rostem Akman,1464.43,1480.0,2019-06-01,2,2019-10-05,-15.57
1903,Townsend Saunders,1464.4,1482.67,1998-03-13,2,1999-01-08,-18.27
