rank,name,elo,peak_elo,peak_date,fights,last_fight,elo_vs_peak
2053,Doug Evans,1460.05,1482.33,2007-06-23,2,2007-12-29,-22.27
2054,Alex Soto,1460.03,1480.42,2011-11-19,2,2012-05-15,-20.39
2055,Tim Williams,1460.03,1478.75,2018-02-18,2,2018-08-25,-18.72
2056,Peter Barrett,1460.01,1481.47,2020-08-08,2,2020-12-12,-21.46
2057,Amilcar Alves,1460.01,1480.12,2010-08-28,2,2011-01-22,-20.11
2058,Roger Hollett,1459.96,1483.43,2012-09-22,2,2013-05-18,-23.47
2059,Byron Bloodworth,1459.93,1477.0,2011-10-01,2,2012-12-29,-17.07
2060,Alex Ricci,1459.88,1478.0,2016-08-27,2,2017-02-19,-18.12
2061,Jamey Simmons,1459.87,1483.15,2020-11-07,2,2021-08-07,-23.28
2062,Yao Zhikui,1459.85,1501.26,2015-05-16,4,2016-11-26,-41.42
2063,Crafton Wallace,1459.84,1477.0,2006-08-17,2,2006-10-10,-17.16
2064,Westin Wilson,1459.8,1485.23,2024-06-15,4,2025-08-23,-25.43
2065,Cole Williams,1459.79,1483.32,2019-08-03,2,2020-10-31,-23.53
2066,Joao Zeferino,1459.75,1480.07,2013-05-18,2,2013-09-04,-20.32
2067,Patrick Williams,1459.75,1503.76,2015-06-13,4,2018-04-14,-44.01
2068,Alexis Dufresne,1459.69,1480.0,2014-07-06,2,2015-01-03,-20.31
2069,Jason Tan,1459.68,1481.01,2007-06-16,2,2008-05-24,-21.33
2070,Allen Crowder,1459.67,1478.94,2017-12-02,3,2019-06-22,-19.27
2071,Alan Omer,1459.67,1481.0,2014-04-11,2,2015-06-20,-21.33
2072,Dan Stittgen,1459.67,1477.0,2012-02-04,2,2012-07-11,-17.33
2073,Luis Henrique,1459.66,1524.85,2016-11-19,6,2018-09-22,-65.19
2074,Anthony Ivy,1459.66,1477.0,2020-06-13,2,2020-09-12,-17.34
2075,Jason Black,1459.63,1478.76,2007-06-12,2,2007-10-20,-19.13
2076,Kyle Bradley,1459.63,1480.98,2009-05-23,4,2010-01-11,-21.35
2077,Irina Alekseeva,1459.62,1525.36,2023-04-29,4,2025-10-11,-65.74
2078,Jay Silva,1459.61,1478.3,2009-09-16,2,2010-01-11,-18.69
2079,Ali AlQaisi,1459.6,1479.74,2020-08-08,2,2020-10-10,-20.13
2080,Takenori Sato,1459.54,1478.82,2014-02-15,2,2014-09-20,-19.28
2081,Gadzhi Omargadzhiev,1459.44,1478.0,2022-04-16,2,2022-10-22,-18.56
2082,Hernani Perpetuo,1459.41,1481.46,2014-04-19,2,2014-07-26,-22.05
2083,Seo Hee Ham,1459.4,1499.98,2015-11-28,4,2016-11-26,-40.58
2084,Nolan Ticman,1459.34,1478.0,2014-08-16,2,2015-05-16,-18.66
2085,Bernardo Magalhaes,1459.27,1478.0,2012-02-15,2,2012-06-08,-18.73
2086,Toshiomi Kazama,1459.26,1478.95,2024-08-10,4,2025-08-09,-19.69
2087,Juancamilo Ronderos,1459.25,1480.54,2021-05-22,2,2023-02-18,-21.29
2088,Tucker Lutz,1459.21,1520.59,2021-05-15,4,2023-07-15,-61.37
2089,Luis Ramos,1459.15,1477.0,2011-08-27,2,2012-06-22,-17.85
2090,Karl Roberson,1459.13,1546.85,2019-11-09,10,2022-07-09,-87.72
2091,Shana Dobson,1459.12,1523.0,2017-12-01,6,2021-02-20,-63.88
2092,Chris Barnett,1459.11,1501.07,2022-09-10,6,2025-10-25,-41.96
2093,Phil Harris,1459.1,1498.49,2013-02-16,5,2014-07-19,-39.39
2094,Michael Patt,1459.1,1477.12,2008-09-06,2,2009-03-07,-18.02
2095,Horacio Gutierrez,1459.08,1478.0,2015-11-21,2,2016-08-06,-18.92
2096,Azat Maksum,1459.08,1518.83,2023-07-15,4,2025-10-25,-59.75
2097,Ross Pearson,1459.07,1580.23,2014-08-16,26,2019-03-30,-121.16
2098,Terrence Mitchell,1459.04,1480.67,2023-07-08,2,2023-09-16,-21.63
2099,Jason Witt,1459.04,1503.47,2021-07-31,6,2022-08-13,-44.43
2100,Ronys Torres,1459.03,1479.19,2010-02-06,2,2010-03-31,-20.17
2101,Josh Sampo,1459.01,1523.0,2013-11-30,4,2015-05-23,-63.99
2102,Danny Downes,1458.99,1481.36,2011-06-04,2,2011-10-29,-22.37
2103,Humberto Bandenay,1458.94,1525.02,2017-08-05,4,2019-08-10,-66.09
2104,Yuri Villefort,1458.94,1478.0,2013-02-23,2,2013-09-04,-19.06
2105,Jordan Radev,1458.89,1477.11,2007-06-12,2,2007-12-29,-18.22
2106,Eddie Wineland,1458.88,1532.85,2016-12-17,16,2022-06-18,-73.97
2107,Kazuhiro Nakamura,1458.86,1481.8,2007-09-22,2,2008-05-24,-22.94
2108,Richard Walsh,1458.86,1522.0,2014-04-16,6,2016-11-26,-63.14
2109,Andreas Stahl,1458.85,1480.0,2014-07-26,2,2015-12-10,-21.15
2110,Steve Berger,1458.85,1478.0,2001-05-04,3,2002-06-22,-19.15
2111,Mark Eddiva,1458.85,1522.0,2014-03-01,4,2016-03-19,-63.15
2112,Joey Gomez,1458.83,1478.8,2016-01-17,2,2016-09-17,-19.98
2113,Cody Pfister,1458.79,1498.13,2015-07-11,4,2016-07-13,-39.33
2114,Valeri Ignatov,1458.79,1479.02,1999-03-05,2,1999-09-24,-20.23
2115,Ramiro Hernandez,1458.78,1477.36,2013-09-04,2,2014-01-25,-18.59
2116,Pearl Gonzalez,1458.77,1479.0,2017-04-08,2,2017-10-07,-20.23
2117,Carl Deaton,1458.77,1482.35,2023-02-25,2,2023-07-15,-23.58
2118,Brock Jardine,1458.77,1483.32,2012-06-22,2,2013-02-23,-24.56
2119,Luiz Dutra,1458.76,1480.0,2014-01-04,2,2015-05-30,-21.24
2120,Mike Lullo,1458.76,1477.0,2010-11-20,2,2011-09-17,-18.24
2121,Carls John De Tomas,1458.76,1480.0,2017-06-17,2,2017-12-09,-21.24
2122,Paul Redmond,1458.66,1479.69,2015-01-24,2,2015-07-18,-21.03
2123,Victor Valimaki,1458.65,1482.67,2006-12-13,2,2007-04-21,-24.02
2124,Nicolle Caliari,1458.59,1479.54,2025-01-11,2,2025-07-19,-20.96
2125,Zarrukh Adashev,1458.56,1480.23,2021-07-31,4,2022-06-04,-21.67
2126,Steve Montgomery,1458.51,1477.0,2015-06-27,2,2015-11-14,-18.49
2127,Hector Ramirez,1458.5,1475.13,2006-11-18,2,2007-06-16,-16.63
2128,Eiji Mitsuoka,1458.49,1475.49,2012-02-25,2,2012-08-11,-17.0
2129,Adam Fugitt,1458.49,1504.14,2023-02-04,6,2026-01-24,-45.64
2130,Mike Rio,1458.48,1520.98,2012-12-15,4,2014-01-25,-62.5
2131,Val Woodburn,1458.46,1478.66,2023-07-08,2,2024-02-17,-20.2
2132,Anna Elmose,1458.39,1478.5,2016-05-08,2,2016-11-19,-20.12
2133,Dan Evensen,1458.39,1479.59,2008-08-09,2,2008-12-27,-21.2
2134,Johnny Eduardo,1458.33,1522.7,2016-11-19,8,2021-10-02,-64.37
2135,Johnny Munoz,1458.3,1503.28,2021-08-07,6,2023-10-07,-44.98
2136,David Kaplan,1458.29,1477.0,2008-12-13,2,2009-05-23,-18.71
2137,Ivana Petrovic,1458.29,1497.93,2024-04-27,4,2025-05-03,-39.64
2138,Danny Abbadi,1458.27,1477.0,2006-06-24,2,2006-09-23,-18.73
2139,Jared Gooden,1458.25,1484.54,2021-07-31,7,2024-10-12,-26.29
2140,Brendan O'Reilly,1458.24,1501.14,2015-05-09,4,2016-12-03,-42.9
2141,Cortavious Romious,1458.24,1477.62,2024-11-09,2,2025-04-05,-19.38
2142,Shane del Rosario,1458.23,1481.08,2012-05-26,2,2012-12-15,-22.84
2143,John Halverson,1458.23,1478.94,2007-02-03,2,2008-03-01,-20.71
2144,Te Edwards,1458.22,1477.0,2018-10-27,2,2019-01-19,-18.78
2145,Gilbert Aldana,1458.22,1479.41,2006-02-04,2,2006-07-08,-21.19
2146,Tim Lajcik,1458.22,1478.4,1999-07-16,3,2000-09-22,-20.18
2147,Angel Pacheco,1458.21,1476.39,2024-03-30,2,2026-02-28,-18.18
2148,Yasuhiro Urushitani,1458.2,1480.68,2012-03-02,2,2012-11-10,-22.48
2149,Claudio Ribeiro,1458.2,1499.21,2023-05-06,4,2024-03-02,-41.01
2150,Wagner Silva,1458.19,1477.0,2014-05-31,2,2014-11-08,-18.81
2151,Leo Kuntz,1458.18,1477.0,2015-05-23,2,2015-11-28,-18.82
2152,Karlos Vemola,1458.17,1500.44,2012-05-05,6,2013-06-08,-42.27
2153,Randa Markos,1458.15,1505.56,2018-01-27,18,2021-10-23,-47.41
2154,Ryan Thomas,1458.14,1478.76,2008-08-09,2,2008-11-15,-20.63
2155,Michel Quinones,1458.11,1477.0,2017-06-25,2,2017-11-11,-18.89
2156,Jesse Strader,1458.09,1479.26,2021-03-20,2,2022-02-19,-21.17
2157,Razak Al-Hassan,1458.07,1477.0,2008-12-10,2,2009-10-24,-18.93
2158,Jason Godsey,1458.07,1478.07,1999-03-05,2,1999-09-24,-20.0
2159,Jason Young,1458.06,1479.85,2011-06-11,4,2012-09-29,-21.79
2160,Kevin Jordan,1458.05,1479.22,2005-06-04,2,2005-11-19,-21.17
2161,Willie Gates,1458.03,1502.45,2015-07-12,4,2016-05-08,-44.42
2162,Colin Fletcher,1458.0,1478.0,2012-12-14,2,2013-03-16,-20.0
2163,Denis Stojnic,1457.99,1481.15,2009-02-07,2,2009-06-13,-23.16
2164,Roman Salazar,1457.98,1481.08,2014-10-04,3,2015-08-08,-23.1
2165,Eddie Gordon,1457.97,1523.0,2014-07-06,4,2015-06-27,-65.03
2166,Brandon Jenkins,1457.94,1474.74,2021-09-18,2,2022-04-16,-16.8
2167,Alptekin Ozkilic,1457.89,1520.32,2013-12-14,4,2015-05-09,-62.43
2168,Louis Cosce,1457.88,1477.0,2020-11-21,2,2022-09-17,-19.12
2169,Sean Spencer,1457.87,1516.62,2014-09-13,8,2016-09-10,-58.75
2170,Fabiano Scherner,1457.86,1477.0,2005-10-03,2,2006-05-27,-19.14
2171,Azamat Gashimov,1457.84,1479.23,2012-11-17,2,2013-05-18,-21.39
2172,Jim Wallhead,1457.84,1481.0,2016-09-03,2,2017-06-03,-23.16
2173,Dakota Bush,1457.83,1478.98,2021-04-17,2,2022-01-15,-21.15
2174,Ericka Almeida,1457.81,1477.97,2015-05-30,2,2015-10-24,-20.16
2175,Pat Audinwood,1457.81,1477.96,2010-09-25,2,2010-12-11,-20.14
2176,Justin Jones,1457.78,1479.94,2014-12-06,2,2015-04-04,-22.16
2177,Mike Guymon,1457.74,1501.55,2010-05-08,4,2011-01-22,-43.81
2178,Joseph Gigliotti,1457.74,1478.88,2016-08-06,2,2016-12-09,-21.14
2179,Anthony Christodoulou,1457.74,1478.88,2015-01-24,2,2015-08-08,-21.14
2180,Motonobu Tezuka,1457.72,1479.78,2012-11-10,2,2013-02-16,-22.06
2181,Guto Inocente,1457.7,1479.02,2014-07-06,2,2014-11-07,-21.33
2182,Yves Edwards,1457.67,1589.46,2004-08-21,21,2014-11-22,-131.79
2183,Zhang Tiequan,1457.67,1521.34,2011-02-26,4,2012-11-10,-63.67
2184,Brendon Marotte,1457.67,1478.22,2023-10-14,2,2024-09-07,-20.55
2185,Tom DeBlass,1457.64,1479.42,2012-04-14,2,2012-11-10,-21.78
2186,Vik Grujic,1457.61,1501.0,2014-06-28,4,2015-05-09,-43.39
2187,Carlton Minus,1457.6,1478.0,2020-08-22,2,2020-12-19,-20.4
2188,Rosi Sexton,1457.58,1480.0,2013-06-15,2,2013-10-26,-22.42
2189,Ricky Rainey,1457.57,1475.18,2018-04-14,2,2018-11-30,-17.61
2190,Jose Maria,1457.54,1478.66,2013-08-03,2,2013-11-09,-21.12
2191,Jordan Espinosa,1457.52,1521.18,2019-03-23,6,2021-03-06,-63.66
2192,Kaynan Kruschewsky,1457.49,1480.8,2023-11-04,2,2024-07-20,-23.32
2193,Darko Stosic,1457.42,1521.37,2018-07-22,4,2020-01-25,-63.95
2194,Cristiano Marcello,1457.36,1499.32,2012-10-13,4,2014-02-15,-41.96
2195,Nick Fiore,1457.28,1478.0,2023-01-14,2,2023-05-20,-20.72
2196,Mike Stumpf,1457.26,1477.2,2011-09-17,2,2013-01-26,-19.94
2197,Edward Faaloloto,1457.21,1475.06,2011-06-26,2,2011-11-05,-17.85
2198,Michael Kuiper,1457.2,1503.41,2012-08-11,4,2013-10-26,-46.21
2199,Roberto Romero,1457.16,1482.01,2024-11-16,2,2025-04-26,-24.85
2200,Vinny Magalhaes,1457.16,1492.19,2012-09-22,5,2013-08-03,-35.02
2201,Leonardo Guimaraes,1457.15,1478.24,2016-02-21,2,2016-09-17,-21.09
2202,Larissa Pacheco,1457.14,1478.59,2014-09-13,2,2015-03-14,-21.45
2203,Thomas Gifford,1457.13,1479.81,2019-04-27,2,2019-10-12,-22.68
2204,Ulysses Gomez,1457.12,1477.0,2012-08-04,2,2013-02-16,-19.88
2205,William Macario,1457.09,1497.47,2013-12-28,4,2015-02-22,-40.38
2206,Jacob Kilburn,1457.08,1477.0,2019-12-07,2,2021-01-16,-19.92
2207,Gloria de Paula,1457.05,1476.04,2022-02-19,4,2022-06-18,-18.99
2208,Travis Wiuff,1457.05,1477.68,2002-11-22,2,2005-04-16,-20.63
2209,KB Bhullar,1457.04,1479.23,2020-10-10,2,2021-05-01,-22.19
2210,Rob Wilkinson,1457.03,1478.1,2017-09-02,2,2018-02-10,-21.07
2211,Leonardo Morales,1457.0,1480.0,2014-11-15,2,2015-06-06,-23.0
2212,Victor Altamirano,1456.99,1523.76,2023-03-25,6,2024-09-28,-66.77
2213,Chris Heatherly,1456.96,1478.03,2014-08-23,2,2014-11-15,-21.07
2214,Alexandre Dantas,1456.95,1477.0,2000-09-22,2,2003-02-28,-20.05
2215,Sammy Morgan,1456.94,1477.0,2005-11-05,2,2006-08-17,-20.06
2216,Curtis Stout,1456.94,1478.0,2001-02-23,2,2004-06-19,-21.06
2217,Besam Yousef,1456.93,1477.0,2012-04-14,2,2013-04-06,-20.07
2218,Michal Figlak,1456.91,1477.94,2022-09-03,2,2024-04-27,-21.03
2219,Roxanne Modafferi,1456.87,1506.55,2020-09-12,12,2022-02-12,-49.68
2220,Jessin Ayari,1456.82,1519.0,2016-09-03,4,2020-10-03,-62.18
2221,Juan Manuel Puig,1456.78,1477.83,2014-07-06,2,2014-11-22,-21.05
2222,Donny Walker,1456.74,1480.0,2011-07-02,2,2011-09-17,-23.26
2223,Konstantin Erokhin,1456.73,1476.31,2015-01-24,2,2015-12-11,-19.58
2224,Jack May,1456.73,1477.0,2014-04-19,2,2014-08-16,-20.27
2225,Elvis Mutapcic,1456.73,1479.77,2016-01-17,3,2016-12-03,-23.04
2226,Joe Brammer,1456.72,1479.39,2009-12-05,2,2010-05-29,-22.66
2227,Collin Anglin,1456.71,1477.0,2021-07-31,2,2021-11-13,-20.29
2228,Josh Shockley,1456.7,1477.0,2014-06-14,2,2015-02-22,-20.3
2229,Stewart Nicoll,1456.69,1478.7,2024-08-17,2,2025-10-11,-22.01
2230,Grigory Popov,1456.69,1477.01,2019-06-08,2,2019-11-09,-20.32
2231,Brodie Farber,1456.63,1477.0,2008-07-19,2,2008-12-10,-20.37
2232,Ashkan Mokhtarian,1456.61,1478.63,2017-06-10,2,2017-11-18,-22.02
2233,JC Cottrell,1456.6,1479.97,2016-07-23,2,2017-01-28,-23.37
2234,Chris Avila,1456.6,1476.64,2016-08-20,2,2016-11-05,-20.04
2235,Colton Smith,1456.58,1522.0,2012-12-15,4,2014-06-28,-65.42
2236,CJ Keith,1456.57,1476.94,2012-06-22,2,2013-01-19,-20.38
2237,Aaron Riley,1456.55,1494.17,2010-05-29,9,2013-07-27,-37.63
2238,Rolando Dy,1456.54,1479.36,2017-11-25,4,2018-06-23,-22.82
2239,Rin Nakai,1456.47,1476.31,2014-09-20,2,2016-03-19,-19.84
2240,Josh Quinlan,1456.43,1521.26,2022-08-13,4,2024-06-15,-64.83
2241,Kelly Faszholz,1456.39,1473.46,2016-02-21,2,2016-10-01,-17.07
2242,Edilberto de Oliveira,1456.38,1477.0,2007-04-21,2,2007-09-19,-20.62
2243,David Dodd,1456.31,1476.31,1999-07-16,2,2000-06-09,-20.01
2244,Jeff Cox,1456.27,1477.07,2007-06-12,2,2008-04-02,-20.8
2245,Andreas Michailidis,1456.26,1499.19,2021-05-01,4,2022-06-04,-42.93
2246,Silvana Gomez Juarez,1456.22,1477.64,2022-06-11,4,2022-11-12,-21.42
2247,Larry Cureton,1456.22,1474.84,1995-04-07,2,1995-09-08,-18.62
2248,Anthony Lapsley,1456.22,1478.93,2013-11-16,2,2014-05-10,-22.71
2249,Christian Colombo,1456.19,1500.0,2016-09-03,3,2017-10-28,-43.81
2250,Sam Fulton,1456.16,1477.14,1996-09-20,2,1997-07-27,-20.99
2251,Duane Ludwig,1456.1,1538.36,2006-01-16,9,2012-09-29,-82.26
2252,Marnic Mann,1456.08,1478.0,2023-09-16,2,2024-04-27,-21.92
2253,Teruto Ishihara,1456.05,1543.6,2016-08-06,9,2019-02-09,-87.55
2254,Rafael Cavalcante,1456.05,1504.07,2013-11-09,5,2016-02-06,-48.02
2255,Chris de la Rocha,1456.05,1477.02,2018-06-09,4,2018-12-15,-20.98
2256,Sheila Gaff,1456.02,1477.0,2013-04-27,2,2013-08-03,-20.98
2257,Aalon Cruz,1456.02,1477.0,2020-02-29,2,2021-03-06,-20.98
2258,Joe Veres,1456.02,1477.0,2007-09-19,2,2008-01-23,-20.98
2259,Brad Morris,1456.02,1477.0,2008-04-19,2,2008-09-17,-20.98
2260,Charlie Ward,1456.02,1477.0,2016-11-19,2,2017-07-16,-20.98
2261,Antonio Silva,1456.02,1544.53,2013-02-02,11,2016-09-24,-88.51
2262,Royce Alger,1456.02,1477.0,1997-05-30,2,1999-07-16,-20.98
2263,Joseph Sandoval,1456.02,1477.0,2011-10-01,2,2012-01-20,-20.98
2264,Bristol Marunde,1456.02,1477.0,2013-04-13,2,2013-08-03,-20.98
2265,John Cofer,1456.02,1477.0,2012-06-01,2,2012-12-15,-20.98
2266,Chris Tuchscherer,1455.99,1502.39,2010-02-06,4,2011-02-26,-46.4
2267,Marion Reneau,1455.97,1563.99,2018-02-24,13,2021-07-17,-108.02
2268,Oli Thompson,1455.97,1477.0,2012-03-02,2,2012-08-04,-21.03
2269,Nick Klein,1455.92,1478.83,2025-02-22,2,2025-08-02,-22.91
2270,Artem Lobov,1455.89,1504.02,2016-11-19,7,2018-10-27,-48.13
2271,Marcin Bandel,1455.88,1476.84,2014-10-04,2,2015-04-11,-20.96
2272,Laureano Staropoli,1455.87,1539.88,2019-05-11,6,2021-10-23,-84.02
2273,Ansar Chalangov,1455.83,1474.98,2005-11-19,2,2006-04-06,-19.15
2274,Jeremy Jackson,1455.74,1477.0,2003-09-26,2,2006-11-11,-21.26
2275,Roger Bowling,1455.66,1476.15,2013-04-20,3,2013-12-14,-20.49
2276,Mark Hominick,1455.65,1551.21,2006-06-28,7,2012-11-17,-95.56
2277,Ben Saunders,1455.63,1572.28,2015-07-25,19,2019-12-14,-116.65
2278,Sarah Alpar,1455.63,1475.57,2020-09-19,2,2021-09-18,-19.94
2279,Michelle Waterson-Gomez,1455.63,1567.45,2019-03-30,15,2024-06-29,-111.82
2280,Nick Penner,1455.61,1476.55,2012-03-02,2,2012-12-14,-20.94
2281,Jessamyn Duke,1455.57,1522.0,2013-11-30,4,2015-07-25,-66.43
2282,Vince Cachero,1455.57,1476.5,2020-08-01,2,2021-02-27,-20.93
2283,Ben Wall,1455.55,1477.0,2013-12-06,2,2014-05-10,-21.45
2284,Joseph Holmes,1455.54,1499.13,2022-05-21,4,2023-05-06,-43.59
2285,Shane Howell,1455.53,1475.34,2014-06-28,2,2015-01-18,-19.82
2286,Pat Schilling,1455.48,1477.0,2012-01-20,2,2012-06-01,-21.52
2287,Nick Aguirre,1455.46,1476.38,2023-01-14,2,2023-11-18,-20.92
2288,Marcos Mariano,1455.45,1475.2,2019-02-09,2,2019-09-21,-19.74
2289,Tommy Speer,1455.41,1477.0,2007-12-08,2,2008-04-02,-21.59
2290,Dong Hyun Ma,1455.39,1516.56,2018-02-10,8,2019-12-21,-61.18
2291,Yorgan De Castro,1455.27,1523.0,2019-10-05,4,2021-04-10,-67.73
2292,Mariya Agapova,1455.24,1520.07,2020-06-13,6,2024-07-13,-64.82
2293,Walel Watson,1455.23,1523.0,2011-10-01,4,2012-09-22,-67.77
2294,Fabricio Camoes,1455.19,1507.86,2012-01-20,6,2014-10-25,-52.67
2295,Cristina Stanciu,1455.14,1480.3,2016-04-10,2,2016-07-13,-25.16
2296,Victor Martinez,1455.13,1478.39,2023-02-25,2,2024-05-18,-23.26
2297,Cameron VanCamp,1455.12,1477.81,2022-05-07,2,2022-09-17,-22.68
2298,Mark Holst,1455.1,1475.99,2010-06-19,2,2010-10-16,-20.89
2299,Andre Fialho,1455.1,1531.33,2022-05-07,7,2023-09-23,-76.23
2300,Rodrigo de Lima,1455.08,1479.0,2014-06-28,2,2015-02-14,-23.92
2301,Chris Indich,1455.0,1478.0,2014-04-16,2,2014-06-28,-23.0
2302,Victor Rodriguez,1454.96,1477.0,2020-10-31,2,2021-05-22,-22.04
2303,Marc-Andre Barriault,1454.94,1526.61,2023-06-10,17,2026-02-07,-71.67
2304,Tommy Hayden,1454.92,1475.54,2012-01-20,2,2012-08-11,-20.61
2305,Elias Garcia,1454.88,1474.76,2018-07-14,2,2018-12-01,-19.88
2306,Carlos Candelario,1454.87,1478.0,2022-05-14,2,2022-11-05,-23.13
2307,Tom Watson,1454.83,1510.17,2013-02-16,7,2015-08-08,-55.33
2308,Syuri Kondo,1454.64,1517.42,2017-09-22,4,2019-06-22,-62.78
2309,Gabriel Miranda,1454.61,1498.76,2023-09-09,4,2025-03-29,-44.16
2310,Aleksa Camur,1454.59,1520.67,2020-01-18,4,2023-08-05,-66.08
2311,Danilo Belluardo,1454.55,1475.39,2019-06-01,2,2019-09-28,-20.83
2312,Lucas Alexander,1454.54,1500.44,2023-03-25,4,2025-02-01,-45.9
2313,Jonathan Wilson,1454.54,1522.82,2015-08-08,4,2017-10-21,-68.28
2314,Rob Yundt,1454.49,1475.31,2008-02-02,2,2008-06-21,-20.83
2315,Anthony Birchak,1454.47,1500.12,2016-07-07,6,2021-04-17,-45.65
2316,Daniel Spitz,1454.44,1500.13,2017-09-16,4,2019-10-18,-45.69
2317,Wendell Oliveira Marques,1454.42,1475.24,2014-09-13,2,2015-05-30,-20.82
2318,Jeka Saragih,1454.42,1502.06,2023-11-18,4,2025-06-07,-47.64
2319,Wes Combs,1454.39,1477.0,2006-06-24,2,2006-08-26,-22.61
2320,Yusaku Kinoshita,1454.36,1475.18,2023-02-04,2,2023-08-26,-20.82
2321,Jordan Griffin,1454.33,1491.65,2020-02-29,5,2021-04-10,-37.32
2322,James Bochnovic,1454.29,1477.0,2017-07-08,2,2018-05-12,-22.71
2323,Dashon Johnson,1454.27,1477.0,2014-06-28,2,2014-09-13,-22.73
2324,Hayder Hassan,1454.26,1477.0,2015-07-12,2,2015-12-19,-22.74
2325,Cesar Arzamendia,1454.25,1477.0,2015-11-21,2,2016-07-30,-22.75
2326,Chase Gormley,1454.2,1477.22,2009-10-24,2,2010-03-21,-23.02
2327,Tamires Vidal,1454.18,1519.32,2022-11-05,4,2024-10-19,-65.14
2328,Joe Vedepo,1454.16,1475.34,2008-09-17,2,2009-04-01,-21.18
2329,Barb Honchak,1454.12,1478.62,2017-12-01,2,2018-07-06,-24.51
2330,Dustin Stoltzfus,1454.1,1482.33,2024-11-02,10,2025-09-13,-28.22
2331,Lisa Ellis,1454.09,1477.0,2014-12-12,2,2015-05-09,-22.91
2332,Colin Robinson,1454.07,1476.82,2007-06-16,2,2008-01-19,-22.75
2333,Ryan MacDonald,1454.04,1476.22,2019-03-23,2,2019-09-14,-22.19
2334,Steve Judson,1454.03,1474.81,1999-09-24,2,2000-03-10,-20.78
2335,Maria Oliveira,1454.02,1495.22,2022-06-18,4,2023-06-10,-41.2
2336,Johnny Rees,1454.0,1477.0,2008-07-19,2,2008-12-10,-23.0
2337,Chris Price,1454.0,1478.76,2006-10-10,2,2007-01-25,-24.76
2338,Mike Jackson,1454.0,1477.0,2016-02-06,4,2022-10-15,-23.0
2339,Martin Bravo,1453.99,1523.0,2016-11-05,4,2019-09-21,-69.01
2340,Micheal Gillmore,1453.98,1477.0,2021-08-28,2,2022-02-26,-23.02
2341,Anton Zafir,1453.97,1475.76,2015-11-14,2,2016-07-08,-21.79
2342,Drako Rodriguez,1453.92,1474.68,2021-02-20,2,2021-08-07,-20.76
2343,Mickey Gall,1453.9,1566.3,2016-12-17,13,2024-11-16,-112.41
2344,Eric Wisely,1453.88,1477.95,2012-01-28,2,2012-04-14,-24.06
2345,David Lee,1453.83,1477.0,2006-09-23,2,2007-04-21,-23.17
2346,Mallory Martin,1453.82,1495.78,2020-08-29,4,2021-12-04,-41.96
2347,Kyle Stewart,1453.8,1475.48,2019-01-19,2,2019-07-27,-21.68
2348,Houston Alexander,1453.8,1548.47,2007-09-08,6,2009-12-05,-94.66
2349,Todd Brown,1453.8,1478.15,2010-08-07,2,2011-03-03,-24.35
2350,Cameron Else,1453.79,1478.81,2020-10-03,2,2022-04-23,-25.02
2351,Alberto Uda,1453.78,1474.54,2016-05-29,2,2016-08-20,-20.76
2352,Cain Carrizosa,1453.64,1477.0,2014-08-30,2,2015-03-21,-23.36
2353,Steve Steinbeiss,1453.59,1471.96,2009-09-16,2,2010-08-01,-18.37
2354,Josias Musasa,1453.57,1475.35,2025-03-15,2,2025-09-27,-21.78
2355,Scott Smith,1453.47,1503.28,2006-11-11,4,2007-06-16,-49.82
2356,Francisco Prado,1453.47,1504.84,2023-07-15,5,2025-07-19,-51.37
2357,Sean O'Connell,1453.44,1509.76,2015-05-09,7,2016-12-09,-56.32
2358,Luke Caudillo,1453.41,1476.08,2007-06-12,2,2007-11-17,-22.67
2359,Kwan Ho Kwak,1453.41,1478.0,2016-11-19,2,2017-06-17,-24.59
2360,Amanda Cooper,1453.37,1497.12,2016-11-19,6,2018-11-10,-43.74
2361,Jorge de Oliveira,1453.3,1476.06,2014-11-08,2,2015-03-21,-22.76
2362,Suman Mokhtarian,1453.29,1477.0,2018-12-01,2,2019-12-21,-23.71
2363,Xavier Foupa-Pokam,1453.28,1476.24,2009-04-18,2,2009-05-23,-22.96
2364,Zac Pauga,1453.27,1496.67,2023-02-18,4,2024-02-10,-43.4
2365,Samy Schiavo,1453.23,1476.0,2008-04-02,2,2008-10-18,-22.77
2366,Juan Adams,1453.15,1520.98,2018-12-15,4,2020-02-08,-67.83
2367,Jessica Eye,1453.15,1519.44,2019-12-14,16,2022-07-02,-66.29
2368,Sean Sharaf,1453.07,1473.76,2024-10-12,2,2025-12-13,-20.69
2369,Marcelo Golm,1453.06,1520.99,2017-10-28,4,2019-04-20,-67.93
2370,Rashad Coulter,1452.97,1473.01,2017-05-13,4,2018-11-24,-20.04
2371,Chris Dempsey,1452.97,1497.96,2015-04-18,4,2016-02-27,-44.99
2372,Wellington Turman,1452.9,1507.35,2022-02-26,9,2023-12-02,-54.45
2373,Andre Soukhamthath,1452.89,1495.8,2018-10-27,7,2019-08-31,-42.92
2374,Emily Kagan,1452.89,1478.0,2014-12-12,2,2015-12-10,-25.11
2375,Richie Vaculik,1452.79,1500.94,2014-06-28,4,2015-11-14,-48.15
2376,Yoislandy Izquierdo,1452.63,1477.0,2012-04-14,2,2012-07-07,-24.37
2377,Tom Niinimaki,1452.63,1522.87,2013-11-30,4,2014-12-20,-70.24
