rank,name,peak_elo,peak_date,current_elo,elo_vs_peak,fights,last_fight
354,Ilir Latifi,1595.97,2018-02-24,1529.29,-66.68,16,2023-05-20
355,Vinc Pichel,1595.8,2021-08-21,1508.81,-86.99,12,2025-03-29
356,Dan Hardy,1595.56,2009-11-14,1503.48,-92.08,10,2012-09-29
357,Jared Rosholt,1595.44,2015-11-14,1508.68,-86.76,8,2016-02-06
358,Joe Lauzon,1595.29,2011-10-08,1506.36,-88.93,27,2019-10-18
359,Shane Carwin,1595.12,2010-03-27,1502.44,-92.68,6,2011-06-11
360,Ailin Perez,1594.99,2026-02-28,1594.99,0.0,7,2026-02-28
361,Chan Sung Jung,1594.96,2021-06-19,1544.7,-50.27,12,2023-08-26
362,Tyson Griffin,1594.84,2009-09-19,1500.78,-94.07,14,2011-10-29
363,Raul Rosas Jr.,1594.76,2026-03-07,1594.76,0.0,7,2026-03-07
364,Joe Stevenson,1594.47,2009-10-24,1489.56,-104.92,16,2011-06-26
365,Kyler Phillips,1594.42,2024-03-09,1551.34,-43.08,9,2025-07-19
366,Ignacio Bahamondes,1594.37,2025-03-08,1571.64,-22.73,9,2025-06-21
367,Amir Albazi,1594.19,2023-06-03,1540.44,-53.75,7,2026-02-07
368,Takeya Mizugaki,1594.1,2014-05-24,1501.69,-92.42,14,2016-12-17
369,Mirsad Bektic,1594.0,2018-06-09,1506.29,-87.7,10,2020-09-19
370,Tecia Pennington,1593.96,2017-12-02,1538.72,-55.23,19,2025-11-08
371,Mark Hunt,1593.88,2017-06-10,1505.75,-88.13,18,2018-12-01
372,Alexander Hernandez,1593.85,2025-09-13,1593.85,0.0,17,2025-09-13
373,Khaos Williams,1593.77,2024-05-18,1539.32,-54.45,10,2025-06-07
374,Tim Boetsch,1593.65,2012-07-21,1506.1,-87.55,24,2019-03-09
375,Jack Shore,1593.15,2022-03-19,1534.53,-58.62,9,2024-11-02
376,Jalin Turner,1592.85,2022-07-02,1563.23,-29.62,14,2025-12-06
377,Miranda Maverick,1592.49,2024-12-14,1572.12,-20.37,12,2025-06-14
378,Warlley Alves,1592.4,2015-12-12,1473.79,-118.61,16,2024-05-18
379,Alexandr Romanov,1592.26,2022-04-30,1566.72,-25.55,10,2024-11-02
380,Nate Quarry,1592.17,2009-09-16,1502.27,-89.9,10,2010-03-31
381,Tagir Ulanbekov,1592.05,2025-06-21,1560.6,-31.45,8,2025-11-22
382,Louis Smolka,1591.22,2016-07-13,1465.36,-125.86,17,2022-05-14
383,Brian Ebersole,1591.19,2012-06-22,1503.54,-87.65,8,2015-06-06
384,Uros Medic,1591.14,2026-02-21,1591.14,0.0,10,2026-02-21
385,Bryan Caraway,1591.13,2016-05-29,1508.56,-82.57,10,2018-11-30
386,Kurt Pellegrino,1591.01,2010-03-27,1502.26,-88.75,12,2011-03-19
387,Kai Kara-France,1590.84,2022-03-26,1557.43,-33.41,13,2025-06-28
388,Jonathan Pearce,1590.8,2022-12-03,1516.95,-73.84,9,2024-10-12
389,David Onama,1590.48,2025-04-26,1568.99,-21.48,9,2025-11-01
390,Sergio Pettis,1590.4,2018-06-09,1518.37,-72.03,14,2019-09-21
391,Quillan Salkilld,1590.27,2026-01-31,1590.27,0.0,4,2026-01-31
392,Jeremiah Wells,1590.22,2023-04-22,1556.21,-34.0,7,2025-11-01
393,Claudio Silva,1590.18,2019-08-03,1504.37,-85.81,8,2022-07-23
394,Chris Daukaus,1590.12,2021-09-25,1508.76,-81.36,8,2023-08-12
395,Johnny Walker,1590.08,2023-05-13,1571.64,-18.44,15,2025-08-23
396,Chris Leben,1589.9,2006-04-06,1478.68,-111.22,22,2013-12-28
397,Rashid Magomedov,1589.49,2015-11-07,1515.06,-74.43,6,2017-04-15
398,Yves Edwards,1589.46,2004-08-21,1457.67,-131.79,21,2014-11-22
399,Rafael Natal,1589.37,2016-01-30,1502.67,-86.7,17,2017-07-22
400,Sam Alvey,1589.32,2017-01-28,1422.89,-166.43,24,2022-08-06
401,Spencer Fisher,1589.24,2009-06-13,1486.11,-103.13,17,2012-06-22
402,Constantinos Philippou,1589.19,2012-12-29,1503.57,-85.61,10,2015-05-16
403,Misha Cirkunov,1588.82,2016-12-10,1471.5,-117.32,13,2022-10-15
404,Ben Rothwell,1588.5,2016-01-30,1509.5,-79.0,17,2021-11-13
405,Martin Buday,1588.46,2025-07-26,1588.46,0.0,8,2025-07-26
406,Dustin Jacoby,1588.39,2026-02-07,1588.39,0.0,17,2026-02-07
407,Oleg Taktarov,1588.1,1995-12-16,1500.13,-87.97,9,1995-12-16
408,Ken Shamrock,1588.01,1996-12-07,1489.11,-98.89,13,2006-10-10
409,Tracy Cortez,1588.0,2025-06-28,1569.26,-18.75,8,2025-11-15
410,Ikram Aliskerov,1587.86,2025-10-25,1587.86,0.0,5,2025-10-25
411,Chas Skelly,1587.31,2017-02-04,1533.8,-53.52,12,2022-02-19
412,Jacqueline Cavalcanti,1587.28,2025-11-08,1587.28,0.0,5,2025-11-08
413,Mauricio Rua,1587.15,2020-07-25,1502.33,-84.83,24,2023-01-21
414,Denise Gomes,1587.08,2025-11-08,1587.08,0.0,8,2025-11-08
415,Casey Kenney,1586.87,2020-10-24,1520.98,-65.89,8,2021-08-07
416,Christian Leroy Duncan,1586.34,2025-11-08,1586.34,0.0,8,2025-11-08
417,Mike Russow,1586.28,2012-01-28,1502.08,-84.2,6,2013-01-26
418,Erik Perez,1586.15,2016-11-05,1513.37,-72.78,9,2016-11-05
419,Albert Tumenov,1586.09,2016-01-02,1505.34,-80.75,8,2016-10-08
420,Amanda Ribas,1586.05,2020-07-11,1516.48,-69.57,13,2025-07-26
421,Tim Means,1585.77,2021-06-26,1489.47,-96.3,30,2024-10-05
422,Da Woon Jung,1585.75,2021-11-13,1491.93,-93.83,9,2024-09-28
423,Yancy Medeiros,1585.44,2017-12-02,1495.95,-89.49,15,2021-06-26
424,Cody Stamann,1585.23,2020-06-06,1487.84,-97.39,15,2024-11-09
425,Tabatha Ricci,1585.2,2024-08-24,1584.14,-1.06,10,2025-07-26
426,Payton Talbott,1585.18,2025-12-06,1585.18,0.0,6,2025-12-06
427,Roy Nelson,1585.14,2013-04-27,1500.98,-84.17,19,2017-04-15
428,Volkan Oezdemir,1585.11,2025-11-22,1585.11,0.0,16,2025-11-22
429,Mairon Santos,1584.97,2025-12-06,1584.97,0.0,4,2025-12-06
430,Karine Silva,1584.86,2024-04-27,1558.15,-26.72,7,2025-12-06
431,Thiago Silva,1584.8,2008-05-24,1506.56,-78.24,12,2013-10-09
432,Eddie Alvarez,1584.73,2017-12-02,1515.72,-69.01,8,2018-07-28
433,Scott Holtzman,1584.44,2020-02-15,1505.9,-78.54,13,2022-12-03
434,Irene Aldana,1584.39,2023-12-16,1557.29,-27.1,14,2024-09-14
435,Edmen Shahbazyan,1584.39,2019-11-02,1578.61,-5.78,14,2025-10-04
436,Josh Barnett,1584.31,2002-03-22,1506.51,-77.8,10,2016-09-03
437,Daniel Marcos,1584.16,2025-11-08,1584.16,0.0,7,2025-11-08
438,Marcus McGhee,1583.98,2024-11-16,1566.87,-17.1,5,2025-07-26
439,Brandon Vera,1583.53,2006-11-18,1498.7,-84.83,16,2013-08-31
440,Alan Jouban,1583.24,2016-12-17,1517.93,-65.31,13,2020-11-21
441,Matt Lindland,1582.95,2003-02-28,1501.01,-81.94,12,2005-08-20
442,Wilson Reis,1582.79,2017-02-11,1506.81,-75.98,13,2019-04-13
443,Nazim Sadykhov,1582.79,2025-06-21,1561.24,-21.55,6,2025-12-06
444,Sean Sherk,1582.63,2008-10-25,1503.02,-79.61,12,2010-09-25
445,Damir Ismagulov,1582.28,2022-06-18,1530.67,-51.62,7,2023-07-01
446,Ryan Hall,1582.18,2019-07-13,1528.37,-53.81,6,2021-12-11
447,Claudio Puelles,1582.05,2022-04-23,1509.41,-72.64,9,2025-09-13
448,Ramazan Emeev,1582.04,2021-01-16,1517.55,-64.49,8,2022-06-11
449,Cezar Ferreira,1581.99,2018-05-12,1507.19,-74.81,15,2019-07-13
450,Clint Hester,1581.62,2014-06-28,1500.31,-81.32,7,2016-04-23
451,Iuri Alcantara,1581.53,2017-03-04,1505.52,-76.01,18,2018-08-25
452,Gabriel Gonzaga,1581.48,2007-04-21,1500.63,-80.85,22,2016-04-10
453,Mark Madsen,1581.45,2022-04-09,1528.05,-53.4,6,2023-11-11
454,Johnny Case,1580.89,2015-11-07,1505.06,-75.82,6,2017-06-25
455,Kayla Harrison,1580.53,2025-06-07,1580.53,0.0,3,2025-06-07
456,Aleksei Oleinik,1580.51,2018-09-15,1507.35,-73.16,17,2022-10-01
457,Brad Riddell,1580.46,2021-06-12,1508.54,-71.92,7,2022-11-12
458,Shara Magomedov,1580.45,2024-10-26,1571.96,-8.49,6,2025-07-26
459,Holly Holm,1580.43,2015-11-14,1526.93,-53.49,16,2024-04-13
460,Jerry Bohlander,1580.31,1998-03-13,1500.14,-80.17,7,1999-01-08
461,Ross Pearson,1580.23,2014-08-16,1459.07,-121.16,26,2019-03-30
462,Jordan Johnson,1580.19,2018-09-15,1518.84,-61.35,4,2018-09-15
463,William Gomis,1579.7,2024-09-28,1573.62,-6.08,6,2025-09-06
464,Mick Parkin,1579.61,2024-07-27,1561.57,-18.04,5,2025-03-22
465,Loopy Godinez,1579.52,2023-11-11,1576.97,-2.54,14,2025-08-16
466,Joe Solecki,1579.4,2023-02-25,1515.12,-64.27,9,2025-01-11
467,Ketlen Vieira,1579.37,2023-07-22,1558.55,-20.82,14,2025-11-01
468,Mark Kerr,1579.34,1997-10-17,1500.18,-79.17,4,1997-10-17
469,Brunno Ferreira,1579.23,2025-12-06,1559.6,-19.63,9,2026-03-07
470,Macy Chiasson,1579.03,2024-06-29,1514.4,-64.63,14,2026-02-28
471,Justin Willis,1579.0,2018-12-01,1515.0,-64.0,5,2019-03-23
472,Nordine Taleb,1578.99,2017-12-16,1506.2,-72.79,12,2019-09-07
473,Cathal Pendred,1578.93,2015-06-13,1503.14,-75.8,6,2015-10-24
474,Danny Castillo,1578.69,2013-07-27,1500.08,-78.61,14,2015-12-19
475,Vitor Petrino,1578.6,2024-03-02,1566.18,-12.43,8,2025-10-11
476,Chris Wade,1578.6,2016-01-17,1508.44,-70.16,7,2017-07-22
477,Luana Santos,1578.47,2025-12-13,1578.47,0.0,6,2025-12-13
478,Enrique Barzola,1578.46,2018-05-19,1513.89,-64.57,10,2020-03-14
479,Michael McDonald,1578.38,2012-04-21,1506.25,-72.13,9,2016-07-13
480,Laverne Clark,1578.38,2000-04-14,1500.18,-78.19,5,2000-09-22
481,CB Dollaway,1578.19,2014-05-31,1503.05,-75.14,20,2018-09-15
482,Felice Herrig,1578.17,2017-12-02,1475.49,-102.68,10,2022-06-04
483,Ed Herman,1577.82,2013-07-27,1505.12,-72.69,26,2023-04-15
484,Thomas Almeida,1577.62,2015-11-07,1480.96,-96.66,10,2021-03-27
485,Wilson Gouveia,1577.43,2008-12-13,1500.97,-76.46,10,2009-12-12
486,Marcos Rogerio de Lima,1577.41,2023-04-29,1558.03,-19.38,18,2024-02-17
487,Damon Jackson,1577.32,2022-09-17,1508.63,-68.69,14,2024-11-16
488,Alan Patrick,1577.1,2018-02-03,1493.03,-84.07,10,2022-05-14
489,Julian Erosa,1576.81,2025-04-12,1555.24,-21.57,17,2025-05-17
490,Thiago Tavares,1576.69,2014-08-16,1506.56,-70.14,18,2016-07-08
491,Cole Miller,1576.66,2010-09-15,1479.13,-97.53,20,2016-12-17
492,Hakeem Dawodu,1576.52,2020-09-26,1519.77,-56.75,10,2023-08-12
493,Bo Nickal,1576.51,2024-11-16,1575.32,-1.18,6,2025-11-15
494,Tim Kennedy,1576.49,2014-04-16,1503.98,-72.51,5,2016-12-10
495,Jared Gordon,1576.41,2025-05-17,1550.65,-25.76,17,2025-09-13
496,Chris Padilla,1576.34,2025-11-08,1576.34,0.0,4,2025-11-08
497,Norman Parke,1576.17,2014-07-19,1504.37,-71.8,9,2016-02-27
498,Kyung Ho Kang,1575.97,2023-06-17,1516.03,-59.93,14,2024-06-22
499,Chris Curtis,1575.85,2022-12-10,1552.69,-23.16,11,2025-07-12
500,Loma Lookboonmee,1575.73,2025-04-05,1549.3,-26.43,10,2025-09-27
501,Ateba Gautier,1575.71,2026-01-24,1575.71,0.0,4,2026-01-24
502,Augusto Sakai,1575.57,2020-05-30,1510.59,-64.98,9,2023-02-25
503,Myktybek Orolbai,1575.5,2025-11-22,1575.5,0.0,5,2025-11-22
504,Aaron Simpson,1575.46,2011-10-08,1502.88,-72.58,11,2012-10-05
505,Davi Ramos,1575.37,2019-05-18,1511.0,-64.37,7,2020-07-18
506,Lauren Murphy,1575.02,2022-07-16,1520.24,-54.78,15,2025-07-12
507,Steven Siler,1574.77,2013-08-17,1500.28,-74.48,9,2014-07-26
508,James Te Huna,1574.71,2013-02-16,1479.39,-95.32,10,2016-03-19
509,Casey O'Neill,1574.67,2022-02-12,1539.28,-35.39,7,2024-08-17
510,Chad Laprise,1574.59,2017-12-16,1503.74,-70.86,10,2018-12-08
511,Makwan Amirkhani,1574.57,2019-06-01,1486.92,-87.65,14,2023-03-18
512,Ricardo Ramos,1573.96,2019-11-16,1477.27,-96.69,15,2025-10-11
513,Roman Kopylov,1573.88,2025-01-11,1534.09,-39.79,11,2025-11-15
514,Askar Askarov,1573.86,2021-03-06,1527.25,-46.61,5,2022-03-26
515,David Martinez,1573.75,2026-02-28,1573.75,0.0,3,2026-02-28
516,Bogdan Guskov,1573.72,2025-07-26,1573.72,0.0,6,2025-12-06
517,Chris Camozzi,1573.67,2013-03-16,1473.88,-99.8,19,2017-05-28
518,Stevie Ray,1573.6,2017-04-22,1514.09,-59.51,11,2019-10-26
519,John Howard,1573.47,2010-03-21,1485.8,-87.67,14,2015-12-10
520,Paulo Thiago,1573.36,2010-02-06,1461.61,-111.75,13,2014-09-13
521,Jason Knight,1573.31,2017-05-13,1486.32,-86.99,9,2018-11-03
522,David Abbott,1573.17,1996-12-07,1443.84,-129.34,18,2003-11-21
523,John Moraga,1572.9,2018-04-14,1511.42,-61.48,14,2018-08-25
524,Taila Santos,1572.83,2021-11-20,1529.39,-43.44,7,2023-08-26
525,Karol Rosa,1572.72,2021-10-02,1556.21,-16.51,12,2025-08-02
526,Curtis Millender,1572.62,2018-12-29,1508.0,-64.61,5,2019-04-13
527,Bryan Barberena,1572.35,2022-07-02,1486.8,-85.56,19,2024-03-16
528,Ben Saunders,1572.28,2015-07-25,1455.63,-116.65,19,2019-12-14
529,Adriano Martins,1572.24,2015-10-03,1505.06,-67.17,7,2017-09-09
530,Joselyne Edwards,1572.01,2026-02-21,1572.01,0.0,12,2026-02-21
531,Hermes Franca,1571.65,2007-01-25,1500.75,-70.89,11,2009-09-19
532,Miesha Tate,1571.62,2016-03-05,1499.24,-72.38,14,2025-05-03
533,David Loiseau,1571.22,2005-10-03,1475.36,-95.86,9,2010-06-12
534,Muhammad Naimov,1571.13,2025-06-21,1547.25,-23.89,7,2025-12-06
535,Shawn Jordan,1571.07,2015-06-06,1505.65,-65.42,10,2015-10-03
536,Rafa Garcia,1570.76,2025-09-13,1570.76,0.0,10,2025-09-13
537,Dan Henderson,1570.75,2011-11-19,1504.48,-66.27,18,2016-10-08
538,Mike Perry,1570.67,2017-09-16,1504.6,-66.06,15,2021-04-10
539,Vladimir Matyushenko,1570.65,2011-04-30,1501.77,-68.89,12,2013-01-26
540,Chris Lytle,1570.64,2010-09-25,1503.05,-67.59,20,2011-08-14
541,Dustin Hazelett,1570.54,2008-11-15,1497.75,-72.78,10,2010-12-11
542,Sage Northcutt,1570.32,2018-07-14,1515.9,-54.42,8,2018-07-14
543,Dustin Ortiz,1570.23,2018-07-28,1514.04,-56.19,14,2019-01-19
544,Ray Borg,1570.13,2017-03-11,1515.76,-54.37,12,2020-05-13
545,Jon Madsen,1570.02,2010-10-23,1501.99,-68.03,5,2011-03-26
546,Guy Mezger,1569.9,1997-05-30,1500.1,-69.79,5,1999-03-05
547,Dooho Choi,1569.88,2016-07-08,1545.19,-24.69,9,2024-12-07
548,Mark Bocek,1569.84,2012-04-21,1505.21,-64.63,13,2014-04-16
549,Niko Price,1569.7,2019-10-12,1464.68,-105.02,20,2026-02-07
550,John Makdessi,1569.61,2019-03-23,1509.84,-59.76,20,2023-09-09
551,Modestas Bukauskas,1569.43,2025-09-06,1543.09,-26.34,12,2026-01-24
552,Mauricio Ruffy,1569.37,2026-01-31,1569.37,0.0,5,2026-01-31
553,Kevin Vallejos,1569.31,2025-12-13,1569.31,0.0,3,2025-12-13
554,Jimmy Crute,1569.08,2020-10-17,1540.24,-28.84,12,2025-09-27
555,Jake Shields,1568.96,2013-10-09,1503.81,-65.16,8,2014-03-15
556,Rogerio Nogueira,1568.8,2013-02-02,1502.97,-65.83,13,2020-07-25
557,Miguel Baeza,1568.76,2020-11-28,1476.28,-92.48,7,2024-06-08
558,Michael Page,1568.69,2025-08-16,1568.69,0.0,4,2025-08-16
559,Carlston Harris,1568.31,2023-08-05,1521.9,-46.4,7,2025-01-11
560,Josh Samman,1568.12,2015-07-12,1501.86,-66.26,5,2016-07-13
561,Brian Stann,1568.11,2011-05-28,1501.33,-66.78,11,2013-03-02
562,Claudia Gadelha,1568.08,2020-05-16,1518.64,-49.44,12,2020-11-07
563,Miles Johns,1568.08,2024-06-15,1505.3,-62.79,12,2025-11-08
564,Sam Patterson,1568.07,2025-09-06,1568.07,0.0,5,2025-09-06
565,Jaqueline Amorim,1567.97,2025-04-26,1541.33,-26.64,6,2025-10-25
566,Iasmin Lucindo,1567.97,2025-08-09,1567.97,0.0,7,2025-08-09
567,Christian Rodriguez,1567.91,2024-03-16,1515.61,-52.3,9,2025-08-09
568,Seth Baczynski,1567.86,2012-09-22,1472.51,-95.36,11,2015-04-11
569,Brian Kelleher,1567.71,2022-01-15,1466.35,-101.36,17,2024-07-20
570,Abdul Razak Alhassan,1567.71,2018-09-08,1471.74,-95.97,14,2025-01-11
571,Matthew Semelsberger,1567.65,2022-12-17,1479.21,-88.44,11,2024-11-09
572,Kyle Noke,1567.5,2011-02-26,1474.08,-93.43,12,2016-11-26
573,Michelle Waterson-Gomez,1567.45,2019-03-30,1455.63,-111.82,15,2024-06-29
574,Zhang Mingyang,1567.44,2025-04-26,1542.63,-24.82,4,2025-08-23
575,Paul Sass,1567.36,2012-05-26,1501.52,-65.83,5,2013-02-16
576,Terry Etim,1567.07,2009-11-14,1500.2,-66.87,11,2013-02-16
577,JJ Aldrich,1567.05,2022-03-12,1542.76,-24.29,16,2025-03-01
578,Tim Credeur,1566.98,2009-04-01,1500.51,-66.46,5,2011-06-04
579,Brendan Schaub,1566.97,2011-03-19,1502.23,-64.74,11,2014-12-06
580,Gerald Meerschaert,1566.97,2024-08-24,1472.61,-94.36,25,2025-11-15
581,Valter Walker,1566.74,2025-10-25,1566.74,0.0,5,2025-10-25
582,Marco Ruas,1566.67,1995-12-16,1500.04,-66.63,6,1999-07-16
583,Montana De La Rosa,1566.51,2019-02-09,1506.67,-59.84,12,2024-06-08
584,Davey Grant,1566.38,2025-07-26,1540.24,-26.14,15,2025-10-18
585,Ali Bagautinov,1566.34,2014-02-01,1505.36,-60.98,7,2016-11-19
586,Mickey Gall,1566.3,2016-12-17,1453.9,-112.41,13,2024-11-16
587,Rony Jason,1565.88,2013-06-08,1499.81,-66.08,9,2017-03-11
588,Shamil Abdurakhimov,1565.87,2019-04-20,1477.25,-88.61,11,2023-01-21
589,Andre Fili,1565.82,2019-07-13,1535.62,-30.2,25,2025-08-09
590,Renato Sobral,1565.72,2006-02-04,1501.0,-64.72,10,2007-08-25
591,Erick Silva,1565.71,2015-03-21,1496.61,-69.1,15,2017-12-16
592,Abus Magomedov,1565.71,2025-04-26,1544.64,-21.07,7,2025-10-04
593,Jose Quinonez,1565.65,2018-02-10,1501.73,-63.92,9,2020-12-05
594,Jacob Volkmann,1565.62,2011-12-30,1502.05,-63.57,10,2013-02-02
595,Mitch Gagnon,1565.61,2014-10-04,1485.11,-80.51,8,2019-05-04
596,Abel Trujillo,1565.6,2016-05-29,1504.17,-61.44,11,2017-12-16
597,Daniel Santos,1565.51,2025-10-04,1565.51,0.0,5,2025-10-04
598,Claude Patrick,1565.44,2011-04-30,1502.36,-63.08,4,2011-12-10
599,Nursulton Ruziboev,1565.26,2025-05-17,1565.26,0.0,5,2025-05-17
600,Kennedy Nzechukwu,1565.23,2023-05-06,1529.83,-35.41,15,2025-12-13
601,Caio Magalhaes,1565.21,2014-11-08,1503.03,-62.18,7,2016-09-10
602,Edimilson Souza,1565.01,2015-03-21,1505.02,-59.99,4,2015-11-07
603,Ronny Markes,1564.98,2013-01-19,1500.88,-64.1,5,2014-03-23
604,Gavin Tucker,1564.92,2020-12-12,1503.41,-61.51,7,2023-08-05
605,Ruslan Magomedov,1564.9,2015-10-03,1507.89,-57.01,3,2015-10-03
606,Patrick Smith,1564.89,1995-07-14,1500.09,-64.8,5,1995-07-14
607,Brett Johns,1564.65,2017-12-01,1522.57,-42.08,7,2020-07-18
608,Mateusz Rebecki,1564.64,2023-11-11,1524.72,-39.93,7,2025-10-25
609,Joe Duffy,1564.59,2017-03-18,1491.04,-73.55,8,2020-07-18
610,Antonio Rodrigo Nogueira,1564.44,2011-08-27,1497.13,-67.31,11,2015-08-01
611,Trevin Giles,1564.35,2021-03-20,1481.42,-82.93,14,2024-11-02
612,Bruno Silva,1564.35,2021-12-11,1445.44,-118.91,11,2025-05-10
613,Luke Barnatt,1564.25,2014-03-08,1497.37,-66.87,6,2015-05-16
614,Hyder Amil,1564.11,2025-03-01,1513.18,-50.93,5,2025-11-08
615,Paige VanZant,1564.07,2015-09-05,1503.14,-60.93,9,2020-07-11
616,Nick Diaz,1564.06,2005-06-04,1487.85,-76.21,15,2021-09-25
617,Keith Jardine,1564.0,2007-09-22,1480.1,-83.9,13,2010-06-19
618,Marion Reneau,1563.99,2018-02-24,1455.97,-108.02,13,2021-07-17
619,Diego Brandao,1563.96,2013-08-17,1504.67,-59.29,10,2016-01-02
620,Mike Easton,1563.8,2012-07-07,1478.43,-85.37,7,2014-06-14
621,Jacobe Smith,1563.53,2026-02-21,1563.53,0.0,3,2026-02-21
622,Matt Serra,1563.52,2007-04-07,1501.14,-62.38,14,2010-09-25
623,Matt Frevola,1563.46,2023-05-06,1498.85,-64.6,12,2025-10-18
624,Elias Silverio,1563.42,2014-05-31,1501.69,-61.73,5,2015-08-23
625,Ricardo Almeida,1563.23,2010-12-11,1501.81,-61.42,11,2011-03-19
626,Gerald Harris,1563.13,2010-07-03,1501.47,-61.66,4,2010-11-20
627,Krzysztof Soszynski,1563.13,2011-06-11,1501.64,-61.49,9,2011-12-10
628,Viviane Araujo,1563.12,2022-05-14,1530.94,-32.18,13,2025-06-28
629,Nate Maness,1563.1,2021-09-18,1544.89,-18.21,7,2024-06-15
630,Alberto Mina,1562.94,2016-07-07,1506.17,-56.77,4,2018-05-12
631,Frankie Saenz,1562.9,2015-08-08,1485.97,-76.94,10,2020-08-01
632,Punahele Soriano,1562.81,2026-02-21,1562.81,0.0,11,2026-02-21
633,Tom Breese,1562.79,2016-02-27,1510.4,-52.39,8,2021-01-20
634,Elves Brener,1562.69,2023-11-04,1498.06,-64.63,6,2025-08-02
635,Andrea Lee,1562.57,2019-06-22,1443.86,-118.71,14,2025-03-01
636,Makhmud Muradov,1562.43,2021-01-23,1530.27,-32.16,7,2024-02-03
637,Jeremy Kennedy,1562.41,2017-07-22,1508.05,-54.35,4,2018-02-10
638,Javid Basharat,1562.24,2023-01-14,1537.72,-24.51,7,2026-02-07
639,Aspen Ladd,1562.21,2019-05-18,1507.05,-55.17,7,2022-04-09
640,Matthew Riddle,1562.19,2009-08-08,1503.32,-58.87,12,2013-02-16
641,Dan Miller,1562.18,2009-02-07,1470.82,-91.36,13,2015-07-12
642,Billy Quarantillo,1562.07,2022-12-10,1509.42,-52.64,11,2024-12-14
643,Michal Oleksiejczuk,1562.0,2026-02-07,1562.0,0.0,18,2026-02-07
644,Jason Lambert,1561.96,2007-03-03,1487.93,-74.03,8,2008-09-06
645,Marco Beltran,1561.95,2016-07-07,1480.27,-81.68,6,2017-10-07
646,Phil Hawes,1561.93,2021-05-08,1481.98,-79.95,8,2024-01-13
647,Roland Delorme,1561.86,2013-06-15,1489.24,-72.62,7,2014-08-23
648,Rafael Estevam,1561.7,2025-08-02,1561.7,0.0,3,2025-08-02
649,Din Thomas,1561.68,2007-05-26,1500.27,-61.41,9,2008-04-02
650,Steve Erceg,1561.67,2024-03-02,1529.85,-31.82,7,2025-08-09
651,Dean Lister,1561.51,2008-06-21,1501.18,-60.33,6,2008-12-27
652,Shonie Carter,1561.46,2001-05-04,1478.61,-82.85,6,2006-12-13
653,Jake O'Brien,1561.46,2007-01-25,1500.35,-61.11,7,2009-07-11
654,Rodolfo Vieira,1561.38,2024-02-10,1535.86,-25.52,10,2025-11-15
655,Hector Lombard,1561.35,2014-03-15,1448.33,-113.02,12,2018-09-22
656,Rodrigo Nascimento,1561.33,2023-11-04,1517.75,-43.58,8,2024-11-02
657,Cameron Saaiman,1561.3,2023-07-08,1489.69,-71.6,6,2025-04-26
658,Maurice Smith,1561.0,1997-10-17,1500.14,-60.86,7,2000-11-17
659,Kendall Grove,1560.89,2007-04-07,1495.03,-65.87,13,2011-05-28
660,Chris Cariaso,1560.7,2014-05-10,1499.49,-61.21,13,2015-10-03
661,Allan Nascimento,1560.64,2025-11-01,1560.64,0.0,5,2025-11-01
662,Josiane Nunes,1560.62,2023-01-21,1485.36,-75.27,6,2025-03-15
663,Ian Heinisch,1560.56,2019-05-18,1502.2,-58.36,7,2021-07-24
664,Cody Durden,1560.52,2023-08-05,1447.86,-112.67,15,2026-03-07
665,Kyle Kingsbury,1560.52,2011-06-04,1465.85,-94.67,9,2014-07-26
666,Amir Sadollah,1560.32,2011-03-26,1491.89,-68.43,11,2014-09-20
667,Thiago Moises,1560.3,2023-01-21,1531.37,-28.93,15,2025-05-17
668,Manny Bermudez,1560.25,2019-02-17,1503.03,-57.22,5,2019-10-18
669,Gabriel Benitez,1560.22,2018-05-19,1468.62,-91.59,15,2024-04-27
670,Karolina Kowalkiewicz,1560.22,2016-07-30,1476.6,-83.62,19,2025-10-11
671,Joshua Burkman,1560.2,2007-01-25,1401.51,-158.69,19,2018-02-18
672,Da'Mon Blackshear,1560.19,2025-04-26,1539.04,-21.15,10,2025-07-26
673,Oban Elliott,1560.01,2024-11-16,1509.23,-50.77,5,2026-01-31
674,Roosevelt Roberts,1559.96,2020-05-30,1472.98,-86.98,10,2024-09-28
675,David Dvorak,1559.87,2021-05-22,1496.4,-63.46,6,2023-06-10
676,Wang Cong,1559.83,2026-02-07,1559.83,0.0,5,2026-02-07
677,Ben Nguyen,1559.68,2017-06-10,1503.31,-56.38,7,2018-12-01
678,Brad Blackburn,1559.45,2009-06-20,1500.29,-59.17,5,2010-04-10
679,Jorge Rivera,1559.2,2010-03-31,1501.87,-57.33,15,2012-01-20
680,Magnus Cedenblad,1559.07,2016-05-08,1504.84,-54.22,6,2016-11-19
681,Themba Gorimbo,1559.06,2024-10-12,1521.72,-37.34,7,2025-11-01
682,Court McGee,1558.99,2011-09-17,1478.89,-80.1,24,2025-06-14
683,Andre Lima,1558.87,2025-03-15,1558.87,0.0,4,2025-03-15
684,Eliot Marshall,1558.78,2009-09-19,1492.64,-66.13,6,2011-10-29
685,Paul Daley,1558.63,2010-01-02,1501.52,-57.11,3,2010-05-08
686,Mike Davis,1558.51,2024-03-16,1558.02,-0.49,7,2025-07-12
687,Joaquim Silva,1558.4,2017-05-28,1526.24,-32.16,12,2025-09-13
